Date,Average Weighted Clean Product Tanker Earnings $/day [51067],Average MR Clean c.2010-built Earnings $/day [545055]
2006-03-03,24730.85819,
2006-03-10,21985.23696,
2006-03-17,21026.13575,
2006-03-24,20439.26958,
2006-03-31,19677.93722,
2006-04-07,18974.14518,
2006-04-14,21128.84159,
2006-04-21,23758.42492,
2006-04-28,25867.16114,
2006-05-05,25634.20599,
2006-05-12,27154.79816,
2006-05-19,26911.45609,
2006-05-26,24506.22309,
2006-06-02,22617.45323,
2006-06-09,24097.22642,
2006-06-16,25737.07852,
2006-06-23,26467.18112,
2006-06-30,26803.15307,
2006-07-07,29942.76541,
2006-07-14,29137.84182,
2006-07-21,30453.60132,
2006-07-28,31311.18251,
2006-08-04,30167.26428,
2006-08-11,32270.52581,
2006-08-18,33269.36676,
2006-08-25,33949.35208,
2006-09-01,31884.9449,
2006-09-08,29921.5858,
2006-09-15,29326.97733,
2006-09-22,27889.16227,
2006-09-29,26125.3813,
2006-10-06,23752.85966,
2006-10-13,21433.74001,
2006-10-20,20814.23811,
2006-10-27,20425.57519,
2006-11-03,18220.24289,
2006-11-10,18480.09123,
2006-11-17,17911.03687,
2006-11-24,17950.37157,
2006-12-01,20909.6812,
2006-12-08,26308.34297,
2006-12-15,29988.94103,
2006-12-22,31701.00024,
2006-12-29,31607.88562,
2007-01-05,31565.64561,
2007-01-12,28352.3051,
2007-01-19,27948.73762,
2007-01-26,26477.01301,
2007-02-02,25738.14172,
2007-02-09,26397.39516,
2007-02-16,29219.19505,
2007-02-23,30559.92872,
2007-03-02,31117.37947,
2007-03-09,32506.78831,
2007-03-16,32479.86553,
2007-03-23,33155.26521,
2007-03-30,33152.97581,
2007-04-06,31980.51167,
2007-04-13,30906.54909,
2007-04-20,31851.38686,
2007-04-27,31587.19797,
2007-05-04,31143.36357,
2007-05-11,33427.59346,
2007-05-18,34255.81323,
2007-05-25,36641.96404,
2007-06-01,35500.81654,
2007-06-08,32250.64668,
2007-06-15,29361.91708,
2007-06-22,24800.00817,
2007-06-29,24085.28185,
2007-07-06,23355.67093,
2007-07-13,22895.15881,
2007-07-20,24229.81785,
2007-07-27,24198.38455,
2007-08-03,22587.55822,
2007-08-10,20000.17977,
2007-08-17,19416.33327,
2007-08-24,19334.51081,
2007-08-31,17777.79968,
2007-09-07,18766.76809,
2007-09-14,17774.03204,
2007-09-21,17542.91708,
2007-09-28,18189.74565,
2007-10-05,17129.23288,
2007-10-12,15914.03218,
2007-10-19,14954.73961,
2007-10-26,16595.41663,
2007-11-02,16022.64316,
2007-11-09,17530.7136,
2007-11-16,22544.42808,
2007-11-23,26510.72031,
2007-11-30,33981.44237,
2007-12-07,33605.55481,
2007-12-14,32280.18628,
2007-12-21,30838.15757,
2007-12-28,27924.1918,
2008-01-04,25709.61462,
2008-01-11,25438.02553,
2008-01-18,22292.78815,
2008-01-25,20236.87091,
2008-02-01,18820.88069,
2008-02-08,17937.44128,
2008-02-15,17973.12463,
2008-02-22,20082.24038,
2008-02-29,21981.18789,
2008-03-07,22719.76228,
2008-03-14,21602.61942,
2008-03-21,19896.83039,
2008-03-28,18518.78828,
2008-04-04,17043.87809,
2008-04-11,19236.39836,
2008-04-18,26250.87387,
2008-04-25,29106.86626,
2008-05-02,27552.71875,
2008-05-09,26201.5067,
2008-05-16,26360.77054,
2008-05-23,29824.95669,
2008-05-30,33549.43076,
2008-06-06,36702.16456,
2008-06-13,37643.42798,
2008-06-20,37463.70955,
2008-06-27,36394.55493,
2008-07-04,33813.33021,
2008-07-11,30226.66941,
2008-07-18,28231.53803,
2008-07-25,28310.22759,
2008-08-01,30107.93438,
2008-08-08,31099.22231,
2008-08-15,34025.79264,
2008-08-22,35079.61573,
2008-08-29,35117.28565,
2008-09-05,33662.40944,
2008-09-12,35700.28929,
2008-09-19,39160.40375,
